"Reference","Value","Qty","Datasheet","Footprint","DNP"
"C1,C3,C4","0.1uF","3","https://www.digikey.com/en/products/detail/kemet/C320C104K5R5TA7317/6562447","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm",""
"C2,C5,C6,C7","10uF/35V","4","https://www.digikey.com/en/products/detail/kemet/ESS106M035AC2EA/9448275","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm",""
"C8","6.8pF","1","https://www.digikey.com/en/products/detail/kemet/C315C689D2G5TA/3726120","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm",""
"D1,D2","1N5817","2","https://www.digikey.com/en/products/detail/stmicroelectronics/1N5817/770963","Diode_THT:D_DO-41_SOD81_P2.54mm_Vertical_KathodeUp",""
"H1,H2,H3,H4,J6,TP9,TP10","-- mixed values --","7","~","-- mixed values --","DNP"
"J1,J2,J3,J4","Conn_Coaxial","4","https://www.digikey.com/en/products/detail/te-connectivity-linx/CONBNC002/16013841","lib_fp:LINX_CONBNC002",""
"J5","Adafruit_ItsyBitsy_M4","1","https://www.digikey.com/en/products/detail/adafruit-industries-llc/3800/9448047","lib_fp:Adafruit_ItsyBitsy_M4",""
"R1,R2,R3,R4,R10","10K","5","https://www.digikey.com/en/products/detail/yageo/MFP-25BRD52-10K/2058797","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical",""
"R5,R6,R12","4.7K","3","https://www.digikey.com/en/products/detail/yageo/MFP-25BRD52-4K7/2058823","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical",""
"R7","1M","1","https://www.digikey.com/en/products/detail/yageo/MFR-25FTE52-1M/9139874","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical",""
"R8,R9","1K","2","https://www.digikey.com/en/products/detail/yageo/MFP-25BRD52-1K/2058804","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical",""
"R11,R13,R14","3.3K","3","https://www.digikey.com/en/products/detail/yageo/MFP-25BRD52-3K3/2058819","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical",""
"R15,R16","7.5K","2","https://www.digikey.com/en/products/detail/yageo/MFP-25BRD52-7K5/2058831","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical",""
"RV1,RV2","5K","2","https://www.digikey.com/en/products/detail/bourns-inc/3296W-1-502LF/1088058","Potentiometer_THT:Potentiometer_Bourns_3296W_Vertical",""
"SW1","SW_AMP","1","https://www.digikey.com/en/products/detail/nidec-components-corporation/AS1D-2M-10-Z/1792118","Connector_JST:JST_XH_B3B-XH-AM_1x03_P2.50mm_Vertical",""
"SW2","SW_RST","1","https://www.digikey.com/en/products/detail/cit-relay-and-switch/BSP10TCQ/12503376","Connector_JST:JST_XH_B2B-XH-AM_1x02_P2.50mm_Vertical",""
"TP1,TP4,TP6,TP7,TP11","-- mixed values --","5","https://www.digikey.com/en/products/detail/keystone-electronics/5012/255334","TestPoint:TestPoint_Loop_D2.60mm_Drill1.6mm_Beaded",""
"U1","AD8032ANZ","1","https://www.digikey.com/en/products/detail/analog-devices-inc/AD8032ANZ/751127","lib_fp:N_8_ADI",""
"U2","TLE2142","1","https://www.digikey.com/en/products/detail/texas-instruments/TLE2142IP/380919","Package_DIP:DIP-8_W7.62mm",""
"U3","TMV_0512D","1","https://www.digikey.com/en/products/detail/traco-power/TMV-0512D/9383521","lib_fp:TMV_5_12_DUAL_TRP",""
